instance,num_colors,time,GIter,CIter,CSize
mulsol.i.3.col,31,519,5,25,6
mulsol.i.3.col,31,493,5,25,9
mulsol.i.3.col,31,404,15,5,3
mulsol.i.3.col,31,346,15,5,6
mulsol.i.3.col,31,343,15,5,9
mulsol.i.3.col,31,934,15,15,3
mulsol.i.3.col,31,809,15,15,6
mulsol.i.3.col,31,728,15,15,9
mulsol.i.3.col,31,1553,15,25,3
mulsol.i.3.col,31,1342,15,25,6
mulsol.i.3.col,31,1129,15,25,9
mulsol.i.3.col,31,615,25,5,3
mulsol.i.3.col,31,593,25,5,6
mulsol.i.3.col,31,551,25,5,9
mulsol.i.3.col,31,1668,25,15,3
mulsol.i.3.col,31,1369,25,15,6
mulsol.i.3.col,31,1229,25,15,9
mulsol.i.3.col,31,2572,25,25,3
mulsol.i.3.col,31,2200,25,25,6
mulsol.i.3.col,31,1955,25,25,9
mulsol.i.4.col,31,160,5,5,3
mulsol.i.4.col,31,170,5,5,6
mulsol.i.4.col,31,152,5,5,9
mulsol.i.4.col,31,441,5,15,3
mulsol.i.4.col,31,349,5,15,6
mulsol.i.4.col,31,319,5,15,9
mulsol.i.4.col,31,678,5,25,3
mulsol.i.4.col,31,558,5,25,6
mulsol.i.4.col,31,485,5,25,9
mulsol.i.4.col,31,376,15,5,3
mulsol.i.4.col,31,349,15,5,6
mulsol.i.4.col,31,374,15,5,9
mulsol.i.4.col,31,968,15,15,3
mulsol.i.4.col,31,826,15,15,6
mulsol.i.4.col,31,737,15,15,9
mulsol.i.4.col,31,1529,15,25,3
mulsol.i.4.col,31,1310,15,25,6
mulsol.i.4.col,31,1166,15,25,9
mulsol.i.4.col,31,650,25,5,3
mulsol.i.4.col,31,622,25,5,6
mulsol.i.4.col,31,569,25,5,9
mulsol.i.4.col,31,1738,25,15,3
mulsol.i.4.col,31,1362,25,15,6
mulsol.i.4.col,31,1252,25,15,9
mulsol.i.4.col,31,2627,25,25,3
mulsol.i.4.col,31,2147,25,25,6
mulsol.i.4.col,31,1951,25,25,9
mulsol.i.5.col,31,191,5,5,3
mulsol.i.5.col,31,159,5,5,6
mulsol.i.5.col,31,163,5,5,9
mulsol.i.5.col,31,435,5,15,3
mulsol.i.5.col,31,350,5,15,6
mulsol.i.5.col,31,334,5,15,9
mulsol.i.5.col,31,693,5,25,3
mulsol.i.5.col,31,581,5,25,6
mulsol.i.5.col,31,547,5,25,9
mulsol.i.5.col,31,393,15,5,3
mulsol.i.5.col,31,350,15,5,6
mulsol.i.5.col,31,346,15,5,9
mulsol.i.5.col,31,970,15,15,3
mulsol.i.5.col,31,811,15,15,6
mulsol.i.5.col,31,758,15,15,9
mulsol.i.5.col,31,1584,15,25,3
mulsol.i.5.col,31,1358,15,25,6
mulsol.i.5.col,31,1194,15,25,9
mulsol.i.5.col,31,636,25,5,3
mulsol.i.5.col,31,591,25,5,6
mulsol.i.5.col,31,556,25,5,9
mulsol.i.5.col,31,1725,25,15,3
mulsol.i.5.col,31,1393,25,15,6
mulsol.i.5.col,31,1262,25,15,9
mulsol.i.5.col,31,2708,25,25,3
mulsol.i.5.col,31,2151,25,25,6
mulsol.i.5.col,31,1978,25,25,9
zeroin.i.1.col,49,249,5,5,3
zeroin.i.1.col,49,182,5,5,6
zeroin.i.1.col,49,177,5,5,9
zeroin.i.1.col,49,543,5,15,3
zeroin.i.1.col,49,540,5,15,6
zeroin.i.1.col,49,500,5,15,9
zeroin.i.1.col,49,907,5,25,3
zeroin.i.1.col,49,855,5,25,6
zeroin.i.1.col,49,830,5,25,9
zeroin.i.1.col,49,437,15,5,3
zeroin.i.1.col,49,417,15,5,6
zeroin.i.1.col,49,400,15,5,9
zeroin.i.1.col,49,1251,15,15,3
zeroin.i.1.col,49,1168,15,15,6
zeroin.i.1.col,49,1145,15,15,9
zeroin.i.1.col,49,2054,15,25,3
zeroin.i.1.col,49,1898,15,25,6
zeroin.i.1.col,49,1865,15,25,9
zeroin.i.1.col,49,757,25,5,3
zeroin.i.1.col,49,723,25,5,6
zeroin.i.1.col,49,692,25,5,9
zeroin.i.1.col,49,2162,25,15,3
zeroin.i.1.col,49,2012,25,15,6
zeroin.i.1.col,49,1966,25,15,9
zeroin.i.1.col,49,3589,25,25,3
zeroin.i.1.col,49,3325,25,25,6
zeroin.i.1.col,49,3246,25,25,9
zeroin.i.2.col,30,157,5,5,3
zeroin.i.2.col,30,157,5,5,6
zeroin.i.2.col,30,142,5,5,9
zeroin.i.2.col,30,445,5,15,3
zeroin.i.2.col,30,424,5,15,6
zeroin.i.2.col,30,377,5,15,9
zeroin.i.2.col,30,726,5,25,3
zeroin.i.2.col,30,647,5,25,6
zeroin.i.2.col,30,583,5,25,9
zeroin.i.2.col,30,378,15,5,3
zeroin.i.2.col,30,378,15,5,6
zeroin.i.2.col,30,339,15,5,9
zeroin.i.2.col,30,1005,15,15,3
zeroin.i.2.col,30,914,15,15,6
zeroin.i.2.col,30,872,15,15,9
zeroin.i.2.col,30,1635,15,25,3
zeroin.i.2.col,30,1473,15,25,6
zeroin.i.2.col,30,1386,15,25,9
zeroin.i.2.col,30,667,25,5,3
zeroin.i.2.col,30,621,25,5,6
zeroin.i.2.col,30,584,25,5,9
zeroin.i.2.col,30,1700,25,15,3
zeroin.i.2.col,30,1560,25,15,6
zeroin.i.2.col,30,1468,25,15,9
zeroin.i.2.col,30,2747,25,25,3
zeroin.i.2.col,30,2528,25,25,6
zeroin.i.2.col,30,2379,25,25,9
zeroin.i.3.col,30,154,5,5,3
zeroin.i.3.col,30,146,5,5,6
zeroin.i.3.col,30,165,5,5,9
zeroin.i.3.col,30,433,5,15,3
zeroin.i.3.col,30,395,5,15,6
zeroin.i.3.col,30,405,5,15,9
zeroin.i.3.col,30,685,5,25,3
zeroin.i.3.col,30,616,5,25,6
zeroin.i.3.col,30,597,5,25,9
zeroin.i.3.col,30,368,15,5,3
zeroin.i.3.col,30,363,15,5,6
zeroin.i.3.col,30,332,15,5,9
zeroin.i.3.col,30,958,15,15,3
zeroin.i.3.col,30,880,15,15,6
zeroin.i.3.col,30,828,15,15,9
zeroin.i.3.col,30,1575,15,25,3
zeroin.i.3.col,30,1454,15,25,6
zeroin.i.3.col,30,1334,15,25,9
zeroin.i.3.col,30,649,25,5,3
zeroin.i.3.col,30,600,25,5,6
zeroin.i.3.col,30,559,25,5,9
zeroin.i.3.col,30,1660,25,15,3
zeroin.i.3.col,30,1497,25,15,6
zeroin.i.3.col,30,1404,25,15,9
zeroin.i.3.col,30,2719,25,25,3
zeroin.i.3.col,30,2413,25,25,6
zeroin.i.3.col,30,2246,25,25,9
